salmon.id,Tag,FieldLength_mm,LabLength_mm,fish_mass,FultonCondition,PBTHatcheryAssignment,Year,otolith.width.mic,oe_ow,oe.julian.day,cap.julian.day,oceanres.d,ocean.growth,Basin,Station.Code,Sample.Date,Otolith_Category
45049,YES,148,140,34.4,1.061141539,Rapid River,2021,2393.2,2284.165,121,144,23.365,4.667,Snake,052421MC16,5/24/2021,4
44615,YES,144.74062,141,32.2,1.061902385,Dworshak,2021,2398.8,2213.564,121,143,21.611,8.571,Snake,052321MC8,5/23/2021,4
44771,NO,158.07758,154,49.2,1.245530232,Wild,2021,2294.9,2167.691,121,143,21.544,5.905,Wild,052321MC9,5/23/2021,4
44471,YES,160,161,51.4,1.25488285,Little White Salmon,2021,2565.2,2401.117,122,143,21.402,7.667,Mid,052321MC3,5/23/2021,4
39865,YES,135,130,23.7,0.963267826,Dworshak,2017,1948.7,1828.656879,123,144,21,5.716339095,Snake,052417MC11,5/24/2017,4
45065,YES,159,152,39.7,0.987641072,Clearwater,2021,2472.3,2360.014,124,145,21.054,5.333,Snake,052521MC17,5/25/2021,4
39998,YES,142,137,34.1,1.190938476,Warm Springs,2017,2210,2068.680272,124,145,21,6.729510857,Mid,052517MC22,5/25/2017,4
36875,YES,171,182,48,0.95995949,Clearwater,2016,2582.32,2502.248062,125,146,21,3.812949429,Snake,052516MC12,5/25/2016,4
41401,YES,158,155,43.1,1.092712708,Pahsimeroi,2018,2417.5,2341.891755,126,147,21,3.600392619,Snake,052718MC31,5/27/2018,4
35628,YES,161,158,43.8,1.04953391,Lyons Ferry,2015,2371.87,2238.895561,126,147,21,6.332116143,Snake,052715MC24,5/27/2015,4
37300,NO,136,129,26.5,1.053486922,Wild,2016,2045.44,1946.769474,127,148,21,4.698596476,Wild,052716MC27,5/27/2016,4
37276,YES,154,150,35.474,0.97128792,Clearwater,2016,2472.86,2368.035495,127,148,21,4.991643095,Snake,052716MC26,5/27/2016,4
37410,YES,165,164,43.7,0.972813552,Rapid River,2016,2442.82,2369.769163,128,149,21,3.478611286,Snake,052816MC30,5/28/2016,4
37714,YES,165,160,44.9,0.999526984,Rapid River,2016,2306.87,2266.329207,129,150,21,1.930513952,Snake,052916MC38,5/29/2016,4
45025,YES,146.79246,143,35.4,1.119159627,Dworshak,2021,2349.8,2236.339,121,144,22.798,4.977,Snake,052421MC15,5/24/2021,4
42524,YES,145,141,31.3,1.026692336,Pahsimeroi,2019,2697,2467.003115,117,139,22,10.4544,Snake,051919MC5,5/19/2019,4
44567,YES,152.94798,149,35.2,0.983810461,Rapid River,2021,2461.7,2412.466,119,143,23.547,2.091,Snake,052321MC3,5/23/2021,4
44995,NO,162,155,43.5,1.023161555,Wild,2021,2506.6,2375.074,120,144,23.914,5.5,Wild,052421MC15,5/24/2021,4
44658,YES,165,160,49.9,1.11083288,Carson,2021,2366.4,2252.481,120,143,22.784,5,Mid,052321MC9,5/23/2021,4
35019,YES,139,139,26.5,0.986737136,Lookingglass,2015,2155.56,2063.477825,122,144,22,4.185553409,Snake,052415MC4,5/24/2015,4
39997,NO,130,124,23.7,1.078743776,Wild,2017,2160,1999.542857,123,145,22,7.2935065,Wild,052517MC22,5/25/2017,4
39978,YES,187,179,77.9,1.191276697,Little White Salmon,2017,2730.5,2549.937913,123,145,22,8.207367591,Mid,052517MC20,5/25/2017,4
37594,NO,115,110,15.7,1.032300472,Wild,2016,1880.83,1781.315185,128,150,22,4.523400682,Wild,052916MC37,5/29/2016,4
37596,YES,179,173,60.3,1.051376374,Pahsimeroi,2016,2680.58,2567.555545,128,150,22,5.137475227,Snake,052916MC37,5/29/2016,4
38047,YES,146,141,31.9,1.02501946,Lookingglass,2016,2372.44,2254.814824,128,150,22,5.346598909,Snake,052916MC43,5/29/2016,4
37798,YES,147,147,30.4,0.957021234,Lookingglass,2016,2219.76,2095.960156,128,150,22,5.627265636,Snake,052916MC39,5/29/2016,4
38522,NO,145,141,35.8,1.174299864,Wild,2016,2075.24,1978.029165,129,151,22,4.418674318,Wild,053016MC50,5/30/2016,4
45195,YES,163,150,44.9,1.036772675,Little White Salmon,2021,2342.4,2207.152,119,145,25.572,5.289,Mid,052521MC20,5/25/2021,4
44996,YES,169,162,52.2,1.081459837,Little White Salmon,2021,2283.1,2104.668,121,144,23.478,7.6,Mid,052421MC15,5/24/2021,4
45477,YES,168.33678,164,55,1.152990271,Rapid River,2021,2493.3,2407.288,122,145,23.316,3.689,Snake,052521MC23,5/25/2021,4
45105,YES,170,163,44.4,0.903724843,Chief Joseph,2021,2622.3,2478.161,122,145,23.165,6.222,Upper,052521MC19,5/25/2021,4
44989,YES,151,145,39.5,1.147271628,Little White Salmon,2021,2436.7,2305.59,112,144,32.08,4.087,Mid,052421MC15,5/24/2021,4
44560,YES,143.7147,140,34.5,1.162292719,Little White Salmon,2021,2321.5,2183.775,119,143,23.998,5.739,Mid,052321MC3,5/23/2021,4
SBS54,YES,158,160,41.8,1.059753874,McCall,2018,2428.76,2340.632207,121,144,23,3.831643174,Snake,052418SBSMC3,5/24/2018,4
36902,YES,159,147,39.9,0.992616613,McCall,2016,2356.5,2257.851132,123,146,23,4.289081217,Snake,052516MC12,5/25/2016,4
37388,YES,177,173,63.9,1.152341146,Pahsimeroi,2016,2607.63,2552.255618,125,148,23,2.407581826,Snake,052716MC29,5/27/2016,4
38044,YES,157,150,39.3,1.015531934,Rapid River,2016,2480.87,2320.748489,127,150,23,6.961804826,Snake,052916MC43,5/29/2016,4
44987,YES,170,162,48,0.976999796,Carson,2021,2388.1,2252.746,119,144,24.657,5.489,Mid,052421MC15,5/24/2021,4
45014,YES,145.76654,142,36.1,1.165557351,Little White Salmon,2021,2421.1,2273.41,120,144,23.936,6.17,Mid,052421MC15,5/24/2021,4
45722,YES,198.08846,193,95.2,1.224783727,Walla Walla,2021,2923.9,2706.295,113,146,33.054,6.583,Mid,052621MC28,5/26/2021,4
44808,YES,151,145,38.7,1.124035769,Carson,2021,2614.2,2503.464,119,144,24.838,4.458,Mid,052421MC11,5/24/2021,4
45454,NO,170,163,57.9,1.178506036,Wild,2021,2367.1,2330.587,120,145,25.038,1.458,Wild,052521MC23,5/25/2021,4
44993,YES,166,160,49,1.071203088,Little White Salmon,2021,2299.6,2127.48,120,144,24.017,7.167,Mid,052421MC15,5/24/2021,4
40614,YES,141,138,27.9,0.995283626,McCall,2018,2207.12,2155.366841,120,144,24,2.156381625,Snake,052418MC5,5/24/2018,4
38042,YES,151,144,37.1,1.077563941,McCall,2016,2413.05,2318.538875,126,150,24,3.937963542,Snake,052916MC43,5/29/2016,4
45595,YES,193,187,86.4,1.201826631,Walla Walla,2021,2837.7,2675.259,121,146,24.567,6.612,Mid,052621MC25,5/26/2021,4
44495,YES,160,149,42.4,1.035156287,Carson,2021,2335,2200.781,117,143,25.614,5.24,Mid,052321MC3,5/23/2021,4
45012,YES,156.02574,152,42.3,1.113657398,Little White Salmon,2021,2483.7,2360.787,118,144,26.49,4.64,Mid,052421MC15,5/24/2021,4
39806,NO,131,126,21.5,0.95636698,Wild,2017,2136.7,1982.152282,119,144,25,6.18190872,Wild,052417MC8,5/24/2017,4
